time_id,year,month,dayweek,hour
471,2024,7,Sunday,18.0
472,2024,7,Tuesday,11.0
473,2024,7,Thursday,20.0
474,2024,7,Monday,8.0
475,2024,7,Saturday,19.0
476,2024,7,Wednesday,10.0
477,2024,7,Sunday,6.0
478,2024,7,Sunday,13.0
479,2024,7,Saturday,15.0
480,2024,7,Saturday,0.0
481,2024,7,Sunday,0.0
482,2024,7,Thursday,10.0
483,2024,7,Monday,12.0
484,2024,7,Friday,16.0
485,2024,7,Wednesday,13.0
486,2024,7,Monday,13.0
487,2024,7,Wednesday,14.0
488,2024,7,Wednesday,9.0
489,2024,7,Monday,22.0
490,2024,7,Wednesday,1.0
491,2016,8,Sunday,18.0
492,2016,8,Saturday,19.0
493,2016,8,Sunday,4.0
494,2016,8,Friday,2.0
495,2016,8,Monday,19.0
496,2016,8,Friday,16.0
497,2016,8,Thursday,10.0
498,2016,8,Monday,16.0
499,2016,8,Saturday,22.0
500,2016,8,Friday,18.0
501,2016,8,Monday,5.0
502,2016,8,Friday,15.0
503,2016,8,Wednesday,14.0
504,2016,8,Wednesday,6.0
505,2016,8,Sunday,1.0
506,2016,8,Friday,22.0
507,2016,8,Saturday,18.0
508,2016,8,Sunday,5.0
509,2016,8,Friday,19.0
510,2016,8,Friday,3.0
511,2016,8,Tuesday,19.0
512,2016,8,Tuesday,5.0
513,2016,8,Friday,4.0
514,2016,8,Friday,1.0
515,2016,8,Thursday,23.0
516,2016,8,Sunday,9.0
517,2016,8,Sunday,12.0
518,2016,8,Saturday,12.0
519,2016,8,Sunday,11.0
520,2016,8,Monday,9.0
521,2016,8,Wednesday,15.0
522,2016,8,Thursday,9.0
523,2023,7,Saturday,13.0
524,2023,7,Saturday,20.0
525,2023,7,Saturday,12.0
526,2023,7,Wednesday,14.0
527,2023,7,Sunday,13.0
528,2023,7,Tuesday,16.0
529,2023,7,Thursday,15.0
530,2023,7,Thursday,4.0
531,2023,7,Wednesday,16.0
532,2023,7,Tuesday,9.0
533,2023,7,Friday,14.0
534,2023,7,Friday,5.0
535,2023,7,Monday,6.0
536,2023,7,Thursday,1.0
537,2023,7,Wednesday,13.0
538,2023,7,Sunday,12.0
539,2023,7,Saturday,19.0
540,2023,7,Saturday,2.0
541,2023,7,Wednesday,9.0
542,2023,7,Monday,3.0
543,2023,7,Friday,18.0
544,2023,7,Saturday,17.0
545,2023,7,Wednesday,8.0
546,2023,7,Tuesday,17.0
547,2023,7,Tuesday,19.0
548,2015,1,Wednesday,16.0
549,2015,1,Wednesday,10.0
550,2015,1,Monday,10.0
551,2015,1,Monday,14.0
552,2015,1,Wednesday,14.0
553,2015,1,Thursday,7.0
554,2015,1,Friday,16.0
555,2015,1,Thursday,12.0
556,2015,1,Thursday,14.0
557,2015,1,Friday,22.0
558,2015,1,Saturday,8.0
559,2015,1,Thursday,23.0
560,2015,1,Tuesday,10.0
561,2015,1,Tuesday,12.0
562,2015,1,Sunday,15.0
563,2015,1,Saturday,6.0
564,2015,1,Sunday,14.0
565,2015,1,Sunday,10.0
566,2015,1,Saturday,17.0
567,2015,1,Saturday,11.0
568,2015,1,Sunday,12.0
569,2015,1,Saturday,15.0
570,2015,1,Sunday,11.0
571,2015,1,Thursday,22.0
572,2015,1,Wednesday,2.0
573,2015,1,Saturday,18.0
574,2015,1,Friday,23.0
575,2015,1,Sunday,21.0
576,2015,1,Monday,0.0
577,2015,1,Monday,3.0
578,2018,1,Saturday,21.0
579,2018,1,Friday,21.0
580,2018,1,Monday,2.0
581,2018,1,Sunday,23.0
582,2018,1,Thursday,20.0
583,2018,1,Tuesday,20.0
584,2018,1,Sunday,17.0
585,2018,1,Monday,10.0
586,2018,1,Monday,13.0
587,2018,1,Thursday,10.0
588,2018,1,Monday,12.0
589,2018,1,Monday,14.0
590,2018,1,Monday,16.0
591,2018,1,Wednesday,14.0
592,2018,1,Thursday,15.0
593,2018,1,Thursday,17.0
594,2018,1,Tuesday,12.0
595,2018,1,Monday,3.0
596,2018,1,Monday,0.0
597,2018,1,Wednesday,19.0
598,2018,1,Tuesday,19.0
599,2018,1,Thursday,3.0
600,2018,1,Sunday,8.0
601,2018,1,Saturday,6.0
602,2018,1,Saturday,14.0
603,2018,1,Saturday,11.0
604,2018,1,Friday,10.0
605,2018,1,Thursday,16.0
606,2018,1,Monday,8.0
607,2018,1,Tuesday,9.0
608,2018,1,Wednesday,15.0
609,2015,5,Friday,23.0
610,2015,5,Sunday,4.0
611,2015,5,Saturday,1.0
612,2015,5,Tuesday,19.0
613,2015,5,Thursday,23.0
614,2015,5,Tuesday,22.0
615,2015,5,Thursday,19.0
616,2015,5,Sunday,16.0
617,2015,5,Saturday,11.0
618,2015,5,Sunday,14.0
619,2015,5,Saturday,16.0
620,2015,5,Saturday,17.0
621,2015,5,Saturday,9.0
622,2015,5,Wednesday,17.0
623,2015,5,Thursday,10.0
624,2015,5,Monday,11.0
625,2015,5,Wednesday,12.0
626,2015,5,Wednesday,11.0
627,2015,5,Tuesday,9.0
628,2015,5,Sunday,3.0
629,2015,5,Friday,5.0
630,2015,5,Wednesday,7.0
631,2015,5,Friday,12.0
632,2015,5,Tuesday,13.0
633,2015,5,Thursday,7.0
634,2015,5,Monday,17.0
635,2015,5,Thursday,16.0
636,2023,11,Wednesday,22.0
637,2023,11,Saturday,13.0
638,2023,11,Monday,10.0
639,2023,11,Thursday,11.0
640,2023,11,Friday,7.0
641,2023,11,Friday,13.0
642,2023,11,Sunday,10.0
643,2023,11,Wednesday,16.0
644,2023,11,Wednesday,12.0
645,2023,11,Wednesday,14.0
646,2023,11,Thursday,22.0
647,2023,11,Thursday,15.0
648,2023,11,Wednesday,0.0
649,2023,11,Saturday,3.0
650,2023,11,Saturday,14.0
651,2023,11,Friday,2.0
652,2023,11,Friday,0.0
653,2023,11,Saturday,9.0
654,2023,11,Thursday,19.0
655,2023,11,Thursday,7.0
656,2023,11,Thursday,23.0
657,2023,11,Thursday,18.0
658,2023,11,Friday,9.0
659,2023,11,Saturday,23.0
660,2023,11,Monday,13.0
661,2023,11,Tuesday,8.0
662,2023,11,Monday,14.0
663,2023,11,Wednesday,9.0
664,2023,9,Tuesday,19.0
665,2023,9,Monday,4.0
666,2023,9,Sunday,19.0
667,2023,9,Wednesday,8.0
668,2023,9,Sunday,5.0
669,2023,9,Saturday,10.0
670,2023,9,Saturday,0.0
671,2023,9,Friday,21.0
672,2023,9,Monday,15.0
673,2023,9,Tuesday,6.0
674,2023,9,Friday,20.0
675,2023,9,Monday,16.0
676,2023,9,Tuesday,11.0
677,2023,9,Monday,11.0
678,2023,9,Friday,9.0
679,2023,9,Wednesday,23.0
680,2023,9,Friday,16.0
681,2023,9,Monday,18.0
682,2023,9,Sunday,3.0
683,2023,9,Friday,22.0
684,2023,9,Saturday,16.0
685,2023,9,Saturday,15.0
686,2023,9,Sunday,16.0
687,2023,9,Thursday,2.0
688,2023,9,Saturday,17.0
689,2023,9,Friday,14.0
690,2023,4,Saturday,16.0
691,2023,4,Thursday,10.0
692,2023,4,Monday,23.0
693,2023,4,Wednesday,17.0
694,2023,4,Saturday,0.0
695,2023,4,Wednesday,10.0
696,2023,4,Saturday,19.0
697,2023,4,Sunday,8.0
698,2023,4,Tuesday,23.0
699,2023,4,Thursday,19.0
700,2023,4,Monday,20.0
701,2023,4,Saturday,18.0
702,2023,4,Sunday,12.0
703,2023,4,Wednesday,13.0
704,2023,4,Monday,6.0
705,2023,4,Friday,14.0
706,2023,4,Friday,6.0
707,2023,4,Friday,9.0
708,2023,4,Thursday,14.0
709,2023,4,Monday,13.0
710,2023,4,Thursday,7.0
711,2023,4,Saturday,14.0
712,2023,4,Saturday,10.0
713,2023,4,Tuesday,15.0
714,2023,4,Friday,15.0
715,2023,4,Thursday,17.0
716,2021,10,Friday,21.0
717,2021,10,Saturday,21.0
718,2021,10,Friday,23.0
719,2021,10,Friday,22.0
720,2021,10,Friday,0.0
721,2021,10,Thursday,18.0
722,2021,10,Tuesday,18.0
723,2021,10,Tuesday,4.0
724,2021,10,Thursday,1.0
725,2021,10,Saturday,17.0
726,2021,10,Saturday,16.0
727,2021,10,Saturday,8.0
728,2021,10,Saturday,13.0
729,2021,10,Saturday,10.0
730,2021,10,Sunday,11.0
731,2021,10,Sunday,9.0
732,2021,10,Sunday,16.0
733,2021,10,Sunday,17.0
734,2021,10,Saturday,9.0
735,2021,10,Wednesday,14.0
736,2021,10,Monday,8.0
737,2021,10,Monday,12.0
738,2021,10,Thursday,13.0
739,2021,10,Sunday,8.0
740,2021,10,Friday,14.0
741,2021,10,Wednesday,11.0
742,2021,10,Monday,0.0
743,2021,10,Wednesday,17.0
744,2021,10,Thursday,12.0
745,2018,9,Wednesday,14.0
746,2018,9,Wednesday,12.0
747,2018,9,Friday,12.0
748,2018,9,Saturday,17.0
749,2018,9,Saturday,14.0
750,2018,9,Saturday,13.0
751,2018,9,Saturday,10.0
752,2018,9,Sunday,11.0
753,2018,9,Tuesday,4.0
754,2018,9,Thursday,21.0
755,2018,9,Friday,1.0
756,2018,9,Thursday,23.0
757,2018,9,Thursday,22.0
758,2018,9,Wednesday,18.0
759,2018,9,Friday,19.0
760,2018,9,Friday,22.0
761,2018,9,Monday,4.0
762,2018,9,Saturday,21.0
763,2018,9,Thursday,16.0
764,2018,9,Thursday,15.0
765,2018,9,Friday,8.0
766,2018,9,Friday,14.0
767,2018,9,Monday,12.0
768,2018,9,Friday,15.0
769,2018,9,Tuesday,15.0
770,2018,9,Sunday,20.0
771,2018,9,Saturday,19.0
772,2018,9,Monday,9.0
773,2018,9,Thursday,14.0
774,2018,9,Sunday,7.0
775,2018,9,Saturday,4.0
776,2022,11,Sunday,14.0
777,2022,11,Wednesday,15.0
778,2022,11,Friday,19.0
779,2022,11,Wednesday,4.0
780,2022,11,Wednesday,18.0
781,2022,11,Monday,14.0
782,2022,11,Saturday,14.0
783,2022,11,Thursday,16.0
784,2022,11,Saturday,11.0
785,2022,11,Sunday,8.0
786,2022,11,Tuesday,19.0
787,2022,11,Sunday,13.0
788,2022,11,Friday,13.0
789,2022,11,Thursday,23.0
790,2022,11,Saturday,1.0
791,2022,11,Sunday,22.0
792,2022,11,Thursday,15.0
793,2022,11,Monday,6.0
794,2022,11,Wednesday,6.0
795,2022,11,Tuesday,1.0
796,2022,11,Saturday,13.0
797,2022,11,Saturday,21.0
798,2022,11,Thursday,17.0
799,2022,11,Monday,17.0
800,2022,11,Sunday,7.0
801,2024,1,Thursday,17.0
802,2024,1,Sunday,22.0
803,2024,1,Wednesday,5.0
804,2024,1,Friday,17.0
805,2024,1,Wednesday,20.0
806,2024,1,Wednesday,17.0
807,2024,1,Friday,16.0
808,2024,1,Tuesday,7.0
809,2024,1,Wednesday,4.0
810,2024,1,Monday,14.0
811,2024,1,Monday,21.0
812,2024,1,Friday,15.0
813,2024,1,Wednesday,14.0
814,2024,1,Monday,0.0
815,2024,1,Friday,6.0
816,2024,1,Monday,17.0
817,2024,1,Thursday,5.0
818,2024,1,Friday,9.0
819,2024,1,Monday,8.0
820,2024,1,Saturday,2.0
821,2024,1,Thursday,11.0
822,2024,1,Tuesday,12.0
823,2024,1,Wednesday,12.0
824,2024,1,Wednesday,8.0
825,2024,1,Thursday,0.0
826,2024,1,Tuesday,15.0
827,2022,5,Sunday,5.0
828,2022,5,Sunday,6.0
829,2022,5,Monday,15.0
830,2022,5,Friday,17.0
831,2022,5,Wednesday,5.0
832,2022,5,Sunday,11.0
833,2022,5,Saturday,18.0
834,2022,5,Saturday,16.0
835,2022,5,Tuesday,7.0
836,2022,5,Thursday,19.0
837,2022,5,Sunday,3.0
838,2022,5,Saturday,23.0
839,2022,5,Monday,22.0
840,2022,5,Thursday,11.0
841,2022,5,Wednesday,3.0
842,2022,5,Friday,16.0
843,2022,5,Sunday,18.0
844,2022,5,Friday,18.0
845,2022,5,Saturday,17.0
846,2022,5,Thursday,16.0
847,2022,5,Tuesday,17.0
848,2022,5,Tuesday,23.0
849,2022,5,Sunday,7.0
850,2022,5,Friday,7.0
851,2022,5,Tuesday,12.0
852,2022,5,Friday,6.0
853,2022,5,Friday,23.0
854,2022,5,Thursday,15.0
855,2022,5,Monday,14.0
856,2019,9,Friday,23.0
857,2019,9,Friday,2.0
858,2019,9,Tuesday,20.0
859,2019,9,Wednesday,18.0
860,2019,9,Friday,1.0
861,2019,9,Wednesday,20.0
862,2019,9,Wednesday,4.0
863,2019,9,Thursday,2.0
864,2019,9,Saturday,13.0
865,2019,9,Sunday,11.0
866,2019,9,Saturday,14.0
867,2019,9,Sunday,17.0
868,2019,9,Saturday,9.0
869,2019,9,Sunday,16.0
870,2019,9,Sunday,15.0
871,2019,9,Wednesday,15.0
872,2019,9,Friday,20.0
873,2019,9,Tuesday,21.0
